,title,company,location,posted_date,description,skills
0,Python Developer,Understanding Recruitment,"Gloucester
                    Gloucestershire",2023-04-30,"Senior Python Developer - Sustainable energy revolution Location: Gloucester / Hybrid Salary: Up to £75,000 Our client is actively seeking an experienced Python Developer to join a startup to tackle energy prices and reliance on Russian gas, helping the environment and making it a more cost-effective process. What we're looking for in a python developer:  3-4+ years' experience working with Python, Django, AWS, node and GCP.Experience working in an agile software development environmentDegree qualified in STEM subject What we can offer our Python Developer:  A rewarding career within a start-upPrivate medical insuranceBonus scheme Apply now for immediate consideration for this excellent Python Developer opportunity! Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.","GCP
python
postgresql
django
aws
node
flask
algorithms
fastapi"
0,Python Developer,Cpl Life Sciences,"Oxford
                    Oxfordshire",2023-03-21,"Python Developer *Python Developer required by leading Biotechnology firm based in Oxfordshire* A leading Biotech who are changing the lives of patients globally are currently on the lookout for an addition to their Software Engineering team. Upon joining, the Python Developer will focus on the development of the new data management system for the company with integrated analytical workflows as well as working closely with Scientists to under stand their requirements and turn them in to solutions  that will ultimately allow them to develop ground breaking treatments for patients. In terms of skills, we are looking for Python Developer’s who have excellent experience with Python, Django. Any experience of JavaScript would be great as would any knowledge of React, HTML & CSS. Desirably, the Python Developer will have an understanding of SQL and have solid experience of developing web applications. This opportunity would suit a Python Developer who is looking to work in a role where you will be at the forefront of scientific breakthroughs that will ultimately save and change peoples lives. If this sounds interesting, please apply within!",Not Specified
0,Python Developer,Understanding Recruitment,"Mayfair
                    London",2023-04-27,"Python Developer - FinTech Up to £90k + Benefits  Senior Python Developer: Python, Django, Numpy, Celery, Pandas We are currently looking for an experienced Python Developer to join a growing FinTech organization made up of team of engineers, quants and financial proffessionals that are on a mission to increase client centricity in investment management through their  ability to conduct next-generation portfolio construction and analysis platforms.  The Tech Stack: Python, Django, Numpy, Celery, Pandas What's on offer?   A competitive salary paired with excellent benefitsRemote working opportunitiesAn opportunity to join a rapidly growing organisation.Exposure to some of the most modern investment portfolio tools on the planet Apply today to be considered for this excellent opportunity! Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.",Not Specified
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-23,"Python Developer | Remote | Up to £110k + equity | FinTech We are looking for a Python Developer to join our growing team of dedicated engineers working on our technological solution to interest-free payments in the buy-now-pay-later sector. Our goal is to work with businesses to increase sales  and make luxury goods available to new categories of customers. As a Python Developer, you'll be using the Django Web Frameworks and working with microservices architecture to scale our new systems with the latest technology. You'll use a technical and commercial mindset to help define the system architecture  and it's evolution, including service-interaction, authentication and third-party integrations. We offer the following benefits: * Fully remote working * The latest technologies * Significant equity in our business Python | Django | Microservices | Payments Understanding Recruitment is the acting agency on this Python Developer position. If you are interested in the Python Developer vacancy, please apply below.","Finance
Python
Django
London
FinTech
Remote"
0,Python Developer,Understanding Recruitment,"Cheltenham
                    Gloucestershire",2023-04-17,"Do you want to use your technical skills to save the planet? Are you passionate about renewable energy and sustainable solutions? **Then look no further!** Junior Python Developer Up to £40k + bonus scheme In office - Gloucester/Cheltenham We are looking for a Lead Python Developer to join a rapidly growing team of environmentally-conscious and highly skilled engineers in the mission to deliver sustainable energy solutions to the masses. You're excited about: ~ Renewable energy! ~ Python development ~ Large-scale projects with a global impact ~ High quality, fully scalable and secure code ~ Agile team leadership We're excited about: ~ Passionate engineering ~ Trading and platform development experience ~ A good crossover with our core tech stack (below) ~ Growth mindset ~ Stakeholder involvement We offer private medical insurance and a discretionary bonus scheme to all of our employees. Let's save the planet together! If this sounds like the opportunity for you then please apply below or reach out to us via the details here to find out more: Python | Django | Node.js | Pandas | NumPy | MongoDB | MySQL | GCP Understanding Recruitment is the acting agency on this Python Developer position. If you are interested in the Python Developer vacancy, please apply below.","Python
Renewable Energy
SQL
Sustainable
Django
Pandas
NumPy
GreenTech"
0,Python Developer,Understanding Recruitment,"City of London
                    London",2023-04-24,"Senior Python Developer - AI Salary up to £120k + stock options This position can be fully remote across Europe. I am currently recruiting for a Python Developer for a very exciting Cyber Security company with offices in both London, San Fransisco, Boston and Texas. They use machine learning and AI to predict and eliminate threats caused by human error. After raising  over $70 million, they are looking at hiring another 20-25 engineers to help them scale further. They are looking for a Python Developer to technically lead and mentor junior members, help them scale their products and platform and drive the engineering roadmap. They embrace TDD, Clean Code and Refactoring in an agile environment. The engineers will  be working on high-volume, low-latency back end systems using predominantly Python microservices, scaled to the cloud. Financially they are in a great place with their recent multi million dollar funding round. They are offering a very rewarding salary and package up to £130k base + strong stock options.  Understanding Recruitment is the acting agency on this Python Developer position. If you are interested in the Python Developer position, please apply below.","python
leadership
distributed systems
aws
microservices
docker
kubernetes"
0,Python Developer,Understanding Recruitment,"Cheltenham
                    Gloucestershire",2023-04-23,"Do you want to use your technical skills to save the planet? Are you passionate about renewable energy and sustainable solutions? **Then look no further!** Senior Python Developer Up to £65k + bonus scheme On-Site - Gloucester/Cheltenham We are looking for a Lead Python Developer to join a rapidly growing team of environmentally-conscious and highly skilled engineers in the mission to deliver sustainable energy solutions to the masses. You're excited about: ~ Renewable energy! ~ Python development ~ Large-scale projects with a global impact ~ High quality, fully scalable and secure code ~ Agile team leadership We're excited about: ~ Passionate engineering ~ Trading and platform development experience ~ A good crossover with our core tech stack (below) ~ Growth mindset ~ Stakeholder involvement We offer private medical insurance and a discretionary bonus scheme to all of our employees. Let's save the planet together! If this sounds like the opportunity for you then please apply below or reach out to us via the details here to find out more: Python | Django | Node.js | Pandas | NumPy | MongoDB | MySQL | GCP Understanding Recruitment is the acting agency on this Python Developer position. If you are interested in the Python Developer vacancy, please apply below.","Python
Sustainable
Django
Pandas
NumPy
Front-End
GreenTech"
0,Python Developer,Salt Search,Netherlands,2023-04-26,"A global leading company is currently recruiting for a English speaking Python Developer that has experience with Python, Django/Fastapi and CI/CD. 6 month rolling contract, paying up to 600 euro's per day. Hybrid position - two days onsite in Zoetermeer,  Netherlands. Experience and skills required for the Python Developer, Django Developer, Docker, Kubernetes, CI/CD, AWS, Databases, PostgreSQL, REST, GIT, NoSQL, Software Developer, Software Engineer  Have experience working in Python, Django/Fastapi, Docker, Kubernetes.Proven experience in developing and maintaining performance oriented Technical stack (load test , high volumes and quick responses)Have experience working across the stack, but mainly on backend who constructs & manages REST API's.You have experience in working with databases (PostgreSQL preferred) and database performance tuning.You are familiar with Git, CI/CD, Jenkins.Technical stack implementation in AWS ( AWS certification is a plus) .Knowledge on NoSQL, Redis, Elastic search is a Plus. Package for the for the Python Developer, Django Developer, Docker, Kubernetes, CI/CD, AWS, Databases, PostgreSQL, REST, GIT, NoSQL, Software Developer, Software Engineer 6 month rolling contract paying up to 600 euros per day",Python
0,Python Developer,Talent Wing,"London
                    London",2023-04-19,"Python Developer - Join a Fast-Growing Start-Up / Scale-Up  £70,000 - £75,000 base salary10% annual bonusLaptop & Phone Who are these people  Talent Wing are working with a growing network intelligence organisation based in London seeking a Python Developer to join them. Due to the scale up and growth of the business/platform requirements the organisation are seeking a fully remote UK based developer  to work on their backend tech stack and provide a key role on working within the development team. This position is fully remote but must be UK based and must have a valid visa status. (No Sponsorship available).  What would I be doing?  As a Python Developer, you will be responsible for writing effective and scalable code, developing back-end components to improve responsiveness and overall performance, integrating user-facing elements into applications, testing and debugging programs,  improving the functionality of existing systems, and implementing security and data protection solutions. You will also be expected to assess and prioritize feature requests and coordinate with internal teams to understand user requirements and provide technical  solutions. What do they expect from me? Our client expects the successful candidate to possess at least 3+ years of experience with Python development, prior use of frameworks like Django and Flask, knowledge of object-relational mapping (ORM), and familiarity with  front-end technologies like JavaScript and HTML5. You should also have excellent communication and problem-solving skills and prior experience working within a start-up/scale-up organization. Qualifications and Experience:  3+ years of experience with Python developmentPrior use of frameworks with Django and FlaskKnowledge of object-relational mapping (ORM)Familiarity with front-end technologies like JavaScript and HTML5Great communication and problem-solving skillsPrior experience working within a start-up/scale-up organization What's in it for me?  As a Python Developer, you will have the opportunity to work with a dynamic and innovative team of professionals who are dedicated to creating exceptional software solutions. Our client offers a competitive salary package, ongoing training and development  opportunities, and a work environment that encourages creativity and collaboration. This is an excellent opportunity to take your career to the next level and work on exciting and challenging projects that have a real impact on the industry. Apply now for this exciting Python Developer role with a fast-growing scale-up company, and take the next step in your career today! Interested to discuss further? Please apply below or contact Jamie Watts","Data
JavaScript
Python
Software
Software Solutions"
0,Python Developer,Huntress,"London
                    London",2023-04-28,"Python/Flask Software Developer A global tech powerhouse within the professional services industry is looking for a Python Developer to join their team in London, on a 11 Month fixed-term contract with potential to be extended. The successful Python Developer will be expected to work on-site  3 days each week and will have the option to work remotely twice per week. The successful candidate will be responsible for writing python based backend calculator/services that talk to database. the frontend will be Vue.JS or ReactJS applications.  Must have IT experience:  Python Flask FrameworkPandas Dataframes SQL Alchemy Vue.JS OR ReactJS -  Nice to have:   Postgres or SQL Server Unix Shell Scripting AutoSys (For scheduling)  Please get in touch to learn more about this opportunity.  Python/Flask Software Developer Huntress Search Ltd acts as a Recruitment Agency in relation to all Permanent roles and as a Recruitment Business in relation to all Temporary roles. We practice a diverse and inclusive recruitment process that ensures equal opportunity for all we work with, irrespective of race, sexual orientation, mental or physical disability, age or gender. As an organisation, we encourage applications from all backgrounds  and will ensure measures are met when required, to allow a fair process throughout.  PLEASE NOTE: We can only consider applications from candidates who have the right to work in the UK.",Not Specified
0,Python Developer,Lorien,"London
                    London",2023-03-22,"Permanent Python Developer We are looking for a Python Developer to join an incredible and exciting opportunity working within a busy and growing environment within Energy Trading. You would be working for some of the worlds most successful commodities trading firms that are also  working on some cutting edge technology within Renewable Energy.  Hybrid Role (50/50 Working from home & in office)  Central London Office! Permanent role  £90,000 - £100,000 OTE + 20% - 30% Bonus and 10% Pension  Skills Needed:  - Assisting an in-house application which supports tooling to derivative traders  - Working closely with traders and quants  - End-to-end software development lifecycle  - Working with other IT teams to help improve current systems  - Promotion prospects If you would like to know more about this Python Developer role, please apply now! Carbon60, Lorien & SRG - The Impellam Group STEM Portfolio are acting as an Employment Business in relation to this vacancy.",Not Specified
0,Python Developer,eFinancialCareers,"London
                    London",2023-04-24,"Python Developer (Data) role at exciting, sustainability-focused FinTech! Durlston Partners is working with a well-backed ESG investment solutions provider to find a passionate and talented Python Developer to join their team. The firm works on the sustainability requirements of financial institutions, offering advice and analytics services. The small team is very collaborative and close-knit, and this is a great time to join and be a large part of the growth of the team. The role comes with the opportunity for lots of greenfield work and innovation with a modern tech stack in the ESG space. Requirements  3+ years working with PythonSome Data and AWS experienceCompSci background (strong fundamentals)Hard-working self-startersEnthusiasm about the opportunity and space",Not Specified
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-24,"Python Developer - Wealth Managment Salary up to £85k plus Bonus and Excellent Benefits Python Developer (Django, Docker, React) - We are actively seeking a Python Developer to join our leading FinTech Wealth Managment firm. The position will include three days working from home if needed. Our Python Developer will be working closely with the CTO and 4/5 other Python Developer's on various web based applicaitons and assisting in the architecture for the fututre state of software development. Our tech stack includes: Python, Flask, Django,  React, SQL, Docker, Kubernetes, Git. We can offer our Python Developer:  A rewarding career with a discretionary performance based bonus.Flexible working from home and remote days.Exposure to a growing team, building it from the ground up. We can also offer our Python Developer an environment which is perfect for a true technologist. You will be surrounded by individuals just like yourself. Apply now for immediately consideration for this excellent Python Developer opportunity! Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.","Flask
GCP
Python
React
Django
Azure
AWS
Docker
Angular
Kubernetes
Vuejs"
0,Python Developer,Proactive Appointments,"London
                    London",2023-04-21,"Python Developer – Inside IR35 – Remote Our client is looking for a talented Python Developer to join the team during this peak of Project and BAU work.  You will be a keen and enthusiastic ambassador of Python Development with solid programming experience. You will have a blend of the following  skills: -  Strong Python DevelopmentAgile MethodologyAzureSQLKubernetes/Docker desirable If this could be your next Python contract, please forward your cv Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation We take our obligations to protect your personal data very seriously.  Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website http://proactive.it/privacy-notice/",Not Specified
0,Python Developer,Ascend Consulting,"Reading
                    Berkshire",2023-04-20,"Python Developer, Python, SQL, Reading, Berkshire - Hybrid to £40,000 (4 days from home) An established cloud technology firm in Berkshire are requiring a Python Developer to join them in an exciting new role. The Developer will be working on market leading risk management software and supporting internal CRM systems. The Python Developer will  be involved in all aspects of the delivery of a live software as a service (SaaS) business product from conception of functional requirements, development, testing, release management and support. Responsibilities • Provide technical guidance across the full software development lifecycle including, but not limited to, writing requirements, using a Git-based version control system, developing/testing code and deploying code to a production environment (Azure). • Collaborate with other members of the Development Team and various functional managers. • Optimise applications for maximum speed and scalability. • Troubleshoot and debug issues in production and staging environments. • Keep up to date with the latest development trends and best practices. Tasks • Develop user-friendly and responsive system enhancements. • Create and maintain technical documentation, including user guides and API documentation. • Liaise and collaborate with cross-functional teams to identify and solve problems. • Implement security features such as authentication and authorisation. • Work with internal teams to conduct user testing. • Deploy code to a production environment (Azure). • Participate in code reviews and contribute to sharing knowledge with team. Typical Qualifications / Experience / Skills • Ideally, university educated in computer science, software engineering or other numerical discipline. • 2+ years of professional experience in development • Comfortable with both frontend and backend development - strong SQL skills are essential. • We are using Python backend, however, as a Microsoft Partner uses a range of Microsoft technologies (C#, Classic ASP, XML, XSLT). As such, needs to be proficient within these technologies. • Experience with version control systems such as Git. • Strong written and verbal communication skills.","Python
SQL"
